article_id,human_bias_rate,human_majority
0,0.75,1
1,0.5,0
2,0.7272727272727273,1
3,0.8571428571428571,1
4,1.0,1
5,0.3333333333333333,0
6,1.0,1
7,0.875,1
8,1.0,1
9,1.0,1
10,0.6,1
11,0.6666666666666666,1
12,1.0,1
13,0.16666666666666666,0
14,0.5,0
15,0.6666666666666666,1
16,0.5,0
17,1.0,1
18,0.0,0
19,0.45454545454545453,0
20,0.6,1
21,0.6,1
22,0.5625,1
23,1.0,1
24,0.6,1
25,0.7777777777777778,1
26,1.0,1
27,0.2,0
28,0.6666666666666666,1
29,0.7777777777777778,1
30,0.0,0
31,0.5,0
32,0.5,0
33,0.6,1
34,0.8,1
35,1.0,1
36,0.5714285714285714,1
37,0.5,0
38,1.0,1
39,1.0,1
40,0.6,1
41,0.6,1
42,0.4,0
43,1.0,1
44,1.0,1
45,0.5,0
46,1.0,1
47,0.0,0
48,0.6,1
49,0.5,0
50,0.625,1
51,0.6666666666666666,1
52,0.4444444444444444,0
53,1.0,1
54,0.5333333333333333,1
55,0.5,0
56,1.0,1
57,0.5555555555555556,1
58,0.5263157894736842,1
59,0.5652173913043478,1
60,0.375,0
61,0.16666666666666666,0
62,0.6666666666666666,1
63,0.75,1
64,0.0,0
65,0.7,1
66,1.0,1
67,1.0,1
68,1.0,1
69,0.7142857142857143,1
70,0.42857142857142855,0
71,0.7777777777777778,1
72,0.5714285714285714,1
73,1.0,1
74,0.9,1
75,0.6666666666666666,1
76,0.55,1
77,0.5,0
78,0.75,1
79,0.5,0
80,0.75,1
81,0.4,0
82,0.6,1
83,1.0,1
84,1.0,1
85,1.0,1
86,0.6153846153846154,1
87,0.8571428571428571,1
88,0.8,1
89,1.0,1
90,0.6363636363636364,1
91,1.0,1
92,0.2,0
93,0.8,1
94,0.9090909090909091,1
95,0.5454545454545454,1
96,0.0,0
97,0.8333333333333334,1
98,0.5384615384615384,1
99,0.5,0
100,0.375,0
101,0.6,1
102,0.5,0
103,0.5,0
104,1.0,1
105,0.7777777777777778,1
106,0.8333333333333334,1
107,1.0,1
108,1.0,1
109,0.5,0
110,0.4117647058823529,0
111,0.4166666666666667,0
112,0.6486486486486487,1
113,0.7368421052631579,1
114,0.4888888888888889,0
115,0.3888888888888889,0
116,0.75,1
117,1.0,1
118,0.6923076923076923,1
119,0.8461538461538461,1
120,0.6666666666666666,1
121,0.75,1
122,0.7,1
123,0.8,1
124,1.0,1
125,0.8333333333333334,1
126,1.0,1
127,0.36363636363636365,0
128,0.5833333333333334,1
129,0.6666666666666666,1
130,0.7777777777777778,1
131,0.6,1
132,0.8181818181818182,1
133,0.7,1
134,0.42857142857142855,0
135,0.5,0
136,0.4583333333333333,0
137,0.25,0
138,0.5,0
139,0.8333333333333334,1
