gemini-2.5-flash-lite,gemma3_27b,gpt-4o-mini,gpt-5.4-mini,llama3.2_3b,llama4_scout,phi4-mini,qwen3_30b,qwen3_4b,r1-1776_latest
0.0,0.1486920605782469,0.11932078935291424,0.19137218907755849,0.42083524552547036,0.22303809086737036,0.6328591096833409,0.15511702615878842,0.15924736117485083,0.3538320330426802
0.1486920605782469,0.0,0.1468563561266636,0.17393299678751717,0.40156034878384583,0.273519963285911,0.5686094538779256,0.2111060119320789,0.2179899036255163,0.30151445617255623
0.11932078935291424,0.1468563561266636,0.0,0.166590178981184,0.427260211106012,0.25699862322166134,0.6741624598439651,0.0954566314823313,0.1023405231757687,0.3685176686553465
0.19137218907755849,0.17393299678751717,0.166590178981184,0.0,0.3735658558972006,0.25837540156034877,0.5709040844424047,0.22166131252868293,0.2267094997705369,0.320330426801285
0.42083524552547036,0.40156034878384583,0.427260211106012,0.3735658558972006,0.0,0.29233593391463975,0.2661771454795778,0.5034419458467188,0.5011473152822395,0.20743460302891237
0.22303809086737036,0.273519963285911,0.25699862322166134,0.25837540156034877,0.29233593391463975,0.0,0.4823313446535108,0.3249196879302433,0.3272143184947224,0.29233593391463975
0.6328591096833409,0.5686094538779256,0.6741624598439651,0.5709040844424047,0.2661771454795778,0.4823313446535108,0.0,0.7384121156493805,0.7425424506654429,0.3487838458008261
0.15511702615878842,0.2111060119320789,0.0954566314823313,0.22166131252868293,0.5034419458467188,0.3249196879302433,0.7384121156493805,0.0,0.03900871959614505,0.44286369894447
0.15924736117485083,0.2179899036255163,0.1023405231757687,0.2267094997705369,0.5011473152822395,0.3272143184947224,0.7425424506654429,0.03900871959614505,0.0,0.44148692060578243
0.3538320330426802,0.30151445617255623,0.3685176686553465,0.320330426801285,0.20743460302891237,0.29233593391463975,0.3487838458008261,0.44286369894447,0.44148692060578243,0.0
